"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.430334034E0,-3.836212158E-1,-2.619781494E-1,2.809295654E-1,5.428804737E-1
1.435369434E0,-3.665771484E-1,-3.189697266E-1,1.941070557E-1,5.232571464E-1
1.440374317E0,-3.532562256E-1,-3.977966309E-1,1.344604492E-1,5.487364876E-1
1.445409718E0,-3.410186768E-1,-4.787597656E-1,1.003723145E-1,5.963046642E-1
1.450414600E0,-3.266296387E-1,-5.458679199E-1,8.865356445E-2,6.422757674E-1
1.455450001E0,-3.053283691E-1,-5.938110352E-1,9.291076660E-2,6.741434336E-1
1.460454884E0,-2.808227539E-1,-6.252288818E-1,1.051635742E-1,6.934204721E-1
1.465490284E0,-2.584533691E-1,-6.422729492E-1,1.232757568E-1,7.032137638E-1
1.470495167E0,-2.424774170E-1,-6.524047852E-1,1.472473145E-1,7.114134333E-1
1.475530567E0,-2.275695801E-1,-6.625213623E-1,1.760101318E-1,7.222894405E-1
1.480535450E0,-2.099914551E-1,-6.737060547E-1,2.047729492E-1,7.347844718E-1
1.485570850E0,-1.828155518E-1,-6.896820068E-1,2.303314209E-1,7.497568672E-1
1.490575733E0,-1.466064453E-1,-7.083282471E-1,2.500457764E-1,7.653399543E-1
1.495611134E0,-9.973144531E-2,-7.243041992E-1,2.606964111E-1,7.762251948E-1
1.500616016E0,-4.699707031E-2,-7.322998047E-1,2.590942383E-1,7.782040561E-1
1.505651417E0,1.052856445E-2,-7.301635742E-1,2.452392578E-1,7.703194074E-1
1.510656300E0,7.496643066E-2,-7.189788818E-1,2.202148438E-1,7.556753110E-1
1.515691700E0,1.458129883E-1,-7.019348145E-1,1.877288818E-1,7.410911175E-1
1.520696583E0,2.198486328E-1,-6.832885742E-1,1.520385742E-1,7.337114045E-1
1.525731983E0,2.928161621E-1,-6.673126221E-1,1.163482666E-1,7.379595921E-1
1.530736866E0,3.588714600E-1,-6.593170166E-1,8.226013184E-2,7.551518936E-1
1.535772266E0,4.142608643E-1,-6.598510742E-1,4.977416992E-2,7.807003086E-1
1.540777149E0,4.584655762E-1,-6.667785645E-1,1.622009277E-2,8.093500046E-1
1.545812550E0,4.941558838E-1,-6.689147949E-1,-2.160644531E-2,8.319278087E-1
1.550817432E0,5.213165283E-1,-6.561279297E-1,-6.741333008E-2,8.407254843E-1
1.555852833E0,5.426177979E-1,-6.215057373E-1,-1.217346191E-1,8.339800798E-1
1.560857716E0,5.612640381E-1,-5.639801025E-1,-1.829833984E-1,8.164397103E-1
1.565893116E0,5.825653076E-1,-4.888763428E-1,-2.479705811E-1,7.999198868E-1
1.570897999E0,6.118621826E-1,-4.063262939E-1,-3.150787354E-1,7.992189920E-1
1.575933399E0,6.496887207E-1,-3.253631592E-1,-3.832550049E-1,8.214870772E-1
